Event Date,Event Date,Shows,Artist,Revenue (USD),Tickets Sold,Capacity,%,Venue,City,Country,,,
10/04/2025,10/04/2025,1,Giveon,646836,8602,8602,100%,Bill Graham Civic Auditorium,San Francisco,United States,,,
10/04/2025,10/04/2025,1,Ice Cube,175748,2830,4858,58.25%,Paycom Center,Oklahoma City,United States,,,
10/04/2025,10/04/2025,1,NBA YoungBoy,1878344,12701,12701,100%,CFG Bank Arena,Baltimore,United States,,,
10/04/2025,10/04/2025,1,TobyMac,377655,7896,11642,67.82%,John Paul Jones Arena,Charlottesville,United States,,,
10/03/2025,10/03/2025,1,Brandon Lake,789119,12783,12783,100%,Kia Center,Orlando,United States,,,
10/03/2025,10/03/2025,1,Breaking Benjamin,705896,9788,9970,98.17%,Save Mart Center,Fresno,United States,,,
10/03/2025,10/03/2025,1,Bring Me The Horizon,1061643,12157,12157,100%,Intuit Dome,Inglewood,United States,,,
10/03/2025,10/03/2025,1,Chris Brown,6668368,41315,41315,100%,Bobby Dodd Stadium,Atlanta,United States,,,
10/03/2025,10/03/2025,1,Dom Dolla ,486878,9645,9645,100%,Alexandra Palace,London,England,,,
10/03/2025,10/04/2025,3,Hugh Jackman,2222955,15054,17793,84.61%,Radio City Music Hall,New York,United States,,,
10/03/2025,10/03/2025,1,NBA YoungBoy,2372938,13937,13937,100%,Wells Fargo Center,Philadelphia,United States,,,
10/03/2025,10/03/2025,1,The Kooks,1020929,17008,17008,100%,Co-op Live,Manchester,England,,,
10/03/2025,10/03/2025,1,TobyMac,258425,5682,7170,79.25%,UTC McKenzie Arena,Chattanooga,United States,,,
10/02/2025,10/02/2025,1,Brandon Lake,809817,13783,13783,100%,Amerant Bank Arena,Sunrise,United States,,,
10/02/2025,10/02/2025,1,Bring Me The Horizon,1164029,11942,11942,100%,Mortgage Matchup Center,Phoenix,United States,,,
10/02/2025,10/02/2025,1,Chance The Rapper,262950,3449,3449,100%,The Rooftop ,New York,United States,,,
10/02/2025,10/02/2025,1,Eladio Carrión,289852,3754,8223,45.65%,Explanada 5,Guatemala City,Guatemala,,,
10/02/2025,10/02/2025,1,TobyMac,189847,4342,6140,70.72%,First National Bank Arena,Jonesboro,United States,,,
10/01/2025,10/01/2025,1,NBA YoungBoy,2193460,13310,13310,100%,Capital One Arena,Washington,United States,,,
10/01/2025,10/01/2025,1,Shaboozey,116768,2991,2991,100%,Avondale Brewing Company,Birmingham,United States,,,
09/30/2025,09/30/2025,1,Chris Brown,7274889,46907,46907,100%,Camping World Stadium,Orlando,United States,,,
09/30/2025,09/30/2025,1,Megan Moroney,631130,8948,8948,100%,Red Rocks Amphitheatre,Morrison,United States,,,
09/30/2025,09/30/2025,1,The Offspring,1428761,12812,13000,98.55%,Hallenstadion,Zürich,Switzerland,,,
09/29/2025,09/29/2025,1,Iggy Pop,188050,2170,2500,86.80%,The Anthem,Washington,United States,,,
09/29/2025,10/04/2025,4,Lady Gaga,12443857,63629,63629,100%,O2 Arena,London,England,,,
09/29/2025,09/29/2025,1,NBA YoungBoy,1547872,12847,12847,100%,Prudential Center,Newark,United States,,,
09/29/2025,09/29/2025,1,Reneé Rapp,1282036,11476,11476,100%,Madison Square Garden,New York,United States,,,
09/28/2025,09/28/2025,1,Kacey Musgraves,75654,1940,3270,59.33%,Audio Club,São Paulo,Brazil,,,
09/28/2025,09/28/2025,1,NBA YoungBoy,1761070,13386,13386,100%,TD Garden,Boston,United States,,,
09/28/2025,09/28/2025,1,TobyMac,309500,6237,7584,82.24%,Doggett Ford Park Arena,Beaumont,United States,,,
09/27/2025,09/27/2025,1,Bring Me The Horizon,1058490,12647,12647,100%,American Airlines Center,Dallas,United States,,,
09/27/2025,09/27/2025,1,Chris Brown,8213958,48938,48938,100%,Alomodome,San Antonio,United States,,,
09/27/2025,09/27/2025,1,David Archuleta,16500,550,550,100%,The Independent,San Francisco,United States,,,
09/27/2025,09/27/2025,1,Geolier,823625,10609,10609,100%,Verona Arena,Verona,Italy,,,
09/27/2025,09/27/2025,1,Groove Armada,136776,3506,3506,100%,The Prospect Building,Bristol,England,,,
09/27/2025,09/27/2025,1,Jason Aldean,1101075,12018,12018,100%,Credit One Stadium,Charleston,United States,,,
09/27/2025,09/27/2025,1,NBA YoungBoy,1998945,13569,13569,100%,Barclays Center,New York,United States,,,
09/27/2025,09/27/2025,1,Ne-Yo,874226,7269,7500,96.92%,GLION Arena,Kobe,Japan,,,
09/27/2025,09/27/2025,1,Simply Red,1704867,15953,15953,100%,Co-op Live,Manchester,England,,,
09/27/2025,09/27/2025,1,The Strokes,320413,2921,2921,100%,The Chelsea,Las Vegas,United States,,,
09/27/2025,09/27/2025,1,TobyMac,210705,5118,13134,38.97%,Smoothie King Center ,New Orleans,United States,,,
09/27/2025,09/27/2025,1,World Wrestling Entertainment,1681275,11818,11818,100%,Honda Center,Anaheim,United States,,,
09/27/2025,10/02/2025,4,Zoé,14822815,229800,229800,100%,Estadio GNP Seguros,Mexico City,Mexico,,,
09/26/2025,09/28/2025,3,All Things Go,10295316,60000,60000,100%,Merriweather Post Pavilion,Columbia,United States,,,
09/26/2025,09/26/2025,1,TobyMac,363329,6820,8371,81.47%,Mississippi Coast Coliseum,Biloxi,United States,,,
09/26/2025,09/26/2025,1,World Wrestling Entertainment,1174592,9203,13054,70.50%,Kia Center ,Orlando,United States,,,
09/25/2025,09/28/2025,3,Alejandro Sanz,3184420,24414,24414,100%,Auditorio Telmex,Guadalajara,Mexico,,,
09/25/2025,09/25/2025,1,Empire Of The Sun,189579,2569,2695,95.32%,Grand Theatre,Reno,United States,,,
09/25/2025,09/25/2025,1,Hardwell,165000,3000,3000,100%,Echostage,Washington,United States,,,
09/25/2025,09/25/2025,1,MARINA,464440,5933,5933,100%,Radio City Music Hall,New York,United States,,,
09/25/2025,09/25/2025,1,Muse,2110937,13620,20000,68.10%,K-Arena,Yokohama,Japan,,,
09/25/2025,09/25/2025,1,NBA YoungBoy,1841336,14241,14241,100%,Nationwide Arena,Columbus,United States,,,
09/25/2025,09/25/2025,1,TobyMac,280643,5358,10200,52.53%,Legacy Arena,Birmingham,United States,,,
09/25/2025,09/25/2025,1,TOMORROW X TOGETHER,1577310,9753,10170,95.90%,State Farm Arena,Atlanta,United States,,,
09/24/2025,09/24/2025,1,Anastacia,174496,1912,1912,100%,Forum,Melbourne,Australia,,,
09/24/2025,09/24/2025,1,Chris Brown,6144585,43590,43590,100%,Coors Field,Denver,United States,,,
09/24/2025,09/24/2025,1,HARDY,707472,8218,12627,65.08%,Madison Square Garden,New York,United States,,,
09/24/2025,09/25/2025,2,Jon Batiste,310210,3204,3204,100%,Orpheum Theater,Madison,United States,,,
09/24/2025,09/24/2025,1,Kacey Musgraves,128619,1418,3124,45.39%,Teatro Metropolitan,Mexico City,Mexico,,,
09/24/2025,09/24/2025,1,Shakira,4027195,29878,29878,100%,Estadio Luis Pirata Fuente,Veracruz,Mexico,,,
09/23/2025,09/24/2025,2,Alex G,232826,4871,5756,84.62%,Fox Theater,Oakland,United States,,,
09/23/2025,09/23/2025,1,Muse,839628,5401,6000,90.02%,INTEX,Osaka,Japan,,,
09/23/2025,09/23/2025,1,Yungblud,178522,4902,4970,98.63%,OLG Stage,Niagara Falls,United States,,,
09/22/2025,09/22/2025,1,NBA YoungBoy,993136,13208,13208,100%,Target Center,Minneapolis,United States,,,
09/21/2025,09/21/2025,1,Gazo,382727,5167,5167,100%,Place Bell,Laval,Canada,,,
09/21/2025,09/21/2025,1,Lewis Capaldi,1546417,17153,17153,100%,Co-op Live,Manchester,England,,,
09/21/2025,09/21/2025,1,NBA YoungBoy,1415408,13386,13386,100%,T-Mobile Center,Kansas City,United States,,,
09/21/2025,09/21/2025,1,Noah Cyrus,32100,757,1500,50.47%,McMenamins Crystal Ballroom,Portland,United States,,,
09/21/2025,09/22/2025,2,TOMORROW X TOGETHER,2761474,16466,23152,71.12%,Allstate Arena,Rosemont,United States,,,
09/20/2025,09/20/2025,1,Bad Bunny,1443807,14093,14093,100%,Coliseo de Puerto Rico,San Juan,Puerto Rico,,,
09/20/2025,09/20/2025,1,Charlie Wilson,383770,5621,8434,66.65%,CFG Bank Arena,Baltimore,United States,,,
09/20/2025,09/20/2025,1,Conan Gray,462080,7491,7491,100%,EagleBank Arena,Fairfax,United States,,,
09/20/2025,09/20/2025,1,Eric Clapton ,2001589,7091,7091,100%,Mohegan Sun Arena,Uncasville,United States,,,
