Event Date,Event Date,Shows,Artist,Revenue (USD),Tickets Sold,Capacity,%,Venue,City,Country,,,
01/04/2025,01/04/2025,1,The Bowie Birthday Bash,10212,291,328,88.72%,City Winery,New York,United States,,,
01/04/2025,01/04/2025,1,The Breakbomb Project,920,56,600,9.33%,The Grand,Boston,United States,,,
01/04/2025,01/04/2025,1,The Breakbomb Project,1540,82,600,13.67%,Encore Boston Harbor,Boston,United States,,,
01/04/2025,01/04/2025,1,The Lon Bronson Band,8202,235,235,100%,The Smith Center,Las Vegas,United States,,,
01/04/2025,01/04/2025,1,The Texas Tenors,70687,1083,1083,100%,Venice Performing Arts Center,Venice,United States,,,
01/04/2025,01/04/2025,1,The Unteachables,3364,156,314,49.68%,City Winery,Nashville,United States,,,
01/04/2025,01/04/2025,1,Vince Gill,123120,1687,1737,97.12%,Southern Kentucky Performing Arts Center,Bowling Green,United States,,,
01/04/2025,01/04/2025,1,Wildlands,4609220,38142,40000,95.36%,HBF Arena,Perth,Australia,,,
01/03/2025,01/03/2025,1,Any Major Dudes: Steely Dan Tribute,7860,254,260,97.69%,City Winery,St. Louis ,United States,,,
01/03/2025,01/03/2025,1,Black Coffee,386531,5361,5361,100%,Hordern Pavilion,Sydney,Australia,,,
01/03/2025,01/03/2025,1,Different Font,560,26,600,4.33%,The Grand,Boston,United States,,,
01/03/2025,01/03/2025,1,Eric Roberson,20720,314,314,100%,City Winery,Nashville,United States,,,
01/03/2025,01/05/2025,3,Kevin Hart,1630459,10639,10639,100%,Chicago Theatre,Chicago,United States,,,
01/03/2025,01/05/2025,3,Max Pezzali,2208029,36907,36907,100%,Unipol Forum,Milan,Italy,,,
01/03/2025,01/03/2025,1,Morad,718592,15623,15623,100%,Palau Sant Jordi,Barcelona,Spain,,,
01/03/2025,01/07/2025,8,Raheem DeVaughn,176590,1866,2496,74.76%,City Winery,Atlanta,United States,,,
01/03/2025,01/03/2025,1,Randy Houser,33010,752,752,100%,Corner Hotel,Richmond,Australia,,,
01/03/2025,01/03/2025,1,The Frank White Experience,1930,75,220,34.09%,City Winery,Pittsburgh,United States,,,
01/03/2025,01/03/2025,1,The Taylor Party,11223,614,1600,38.38%,Big Night Live,Boston,United States,,,
01/03/2025,01/03/2025,1,World Wrestling Entertainment,1094508,10201,11136,91.60%,Footprint Center,Phoenix,United States,,,
01/02/2025,01/02/2025,1,Billie Marten,23512,747,747,100%,Corner Hotel,Richmond,Australia,,,
01/02/2025,01/02/2025,1,CupcakKe,12820,420,420,100%,The Pyramid Scheme,Grand Rapids,United States,,,
01/02/2025,01/05/2025,8,Holiday On Ice,1692103,35835,52120,68.75%,Olympiahalle,Munich,Germany,,,
01/02/2025,01/02/2025,1,Hooligan's Holiday,60,5,400,1.25%,2454 West,Greeley,United States,,,
01/02/2025,01/02/2025,1,Jim Gaffigan,425704,6043,6572,91.95%,Kia Center,Orlando,United States,,,
01/02/2025,01/02/2025,1,Unteachables Comedy,2207,97,200,48.50%,City Winery,St. Louis ,United States,,,
01/01/2025,01/01/2025,1,Anyma,2705622,17430,17430,100%,Sphere,Las Vegas,United States,,,
01/01/2025,01/01/2025,1,Joseph Arthur,3525,141,328,42.99%,City Winery,New York,United States,,,
01/01/2025,01/01/2025,1,Kai / Rutshelle Guillaume,53270,826,1400,59.01%,Big Night Live,Boston,United States,,,
01/01/2025,01/01/2025,1,Katie Simone,1155,44,220,20.00%,City Winery,Pittsburgh,United States,,,
01/01/2025,01/01/2025,1,Popa Chubby,2638,85,160,53.13%,City Winery,New York,United States,,,
01/01/2025,01/01/2025,1,PureSoul Presents,9770,281,312,90.06%,City Winery,Atlanta,United States,,,
01/01/2025,01/01/2025,1,Salute to Vienna,148957,1907,2100,90.81%,Kravis Center,West Palm Beach,United States,,,
12/31/2024,12/31/2024,1,Anyma,2744226,17372,17372,100%,Sphere,Las Vegas,United States,,,
12/31/2024,12/31/2024,1,Billy Joel ,3780358,16597,16597,100%,UBS Arena,New York,United States,,,
12/31/2024,12/31/2024,1,Bruno Mars,3277669,5314,5314,100%,Dolby Live,Las Vegas,United States,,,
12/31/2024,12/31/2024,1,Jeff Dunham,213182,3034,3034,100%,Prudential Center ,Newark,United States,,,
12/31/2024,12/31/2024,2,Max Pezzali,1063900,8866,12206,72.64%,Unipol Forum,Milan,Italy,,,
12/31/2024,12/31/2024,1,New Years Eve Comedy Jam,354753,3522,7373,47.77%,Chaifetz Arena,St. Louis,United States,,,
12/31/2024,12/31/2024,1,Pitbull,1005943,5201,5201,100%,Hard Rock Live,Atlantic City,United States,,,
12/31/2024,01/06/2025,6,Shin Lim,544356,6654,6654,100%,The Palazzo Theatre,Las Vegas,United States,,,
12/31/2024,12/31/2024,1,Wildlands,4477743,35735,40000,89.34%,Showgrounds,Brisbane,Australia,,,
12/31/2024,12/31/2024,1,Zac Brown,855126,7742,8778,88.20%,State Farm Arena,Atlanta,United States,,,
12/30/2024,12/30/2024,1,Anyma,2547223,17318,17318,100%,Sphere,Las Vegas,United States,,,
12/30/2024,12/30/2024,1,Bruno Mars,2805568,5314,5314,100%,Dolby Live,Las Vegas,United States,,,
12/30/2024,12/31/2024,2,Goose,927464,9700,25452,38.11%,Moody Center,Austin,United States,,,
12/30/2024,12/30/2024,1,Jeff Dunham,495990,7515,7515,100%,PPG Paints Arena,Pittsburgh,United States,,,
12/30/2024,12/30/2024,1,Mannheim Steamroller,81610,1850,2931,63.12%,Thomas Hall,Akron,United States,,,
12/30/2024,12/30/2024,1,Mannheim Steamroller,97924,2059,2448,84.11%,Whitney Hall,Louisville,United States,,,
12/30/2024,01/05/2025,22,Radio City Christmas Spectacular,10494145,111617,130482,85.54%,Radio City Music Hall,New York,United States,,,
12/29/2024,12/29/2024,2,Trans-Siberian Orchestra,1057170,14765,25018,59.02%,Scotiabank Arena,Toronto,Canada,,,
12/29/2024,12/29/2024,1,Anyma,2613522,17439,17439,100%,Sphere,Las Vegas,United States,,,
12/29/2024,12/29/2024,1,Mannheim Steamroller,102523,1241,1463,84.83%,Virginia Theatre,Champaign,United States,,,
12/29/2024,12/29/2024,1,Mannheim Steamroller,71550,895,956,93.62%,Opera House,Lexington,United States,,,
12/28/2024,12/28/2024,1,All Elite Wrestling,263765,5446,7031,77.46%,Addition Financial Arena,Orlando,United States,,,
12/28/2024,12/28/2024,1,Anyma,2887145,17339,17339,100%,Sphere,Las Vegas,United States,,,
12/28/2024,01/01/2025,5,Beyond The Valley,15060171,94034,100000,94.03%,Barunah Plains,Melbourne,Australia,,,
12/28/2024,12/28/2024,1,Funk Flex Winter Festival,820764,10614,12786,83.01%,Barclays Center,New York,United States,,,
12/28/2024,12/31/2024,3,Laura Pausini,981148,9829,11835,83.05%,PalaRescifina,Messina,Italy,,,
12/28/2024,12/28/2024,1,Mannheim Steamroller,96784,1436,2411,59.56%,RiverCenter,Davenport,United States,,,
12/28/2024,12/28/2024,1,Mannheim Steamroller,117515,1638,1955,83.79%,Mark C. Smith Concert Hall,Huntsville,United States,,,
12/28/2024,12/31/2024,4,Phish,9598730,75171,75171,100%,Madison Square Garden,New York,United States,,,
12/28/2024,12/28/2024,1,Pitbull,928523,5500,5500,100%,Hard Rock Live at Etess Arena,Atlantic City,United States,,,
12/28/2024,12/28/2024,2,Trans-Siberian Orchestra,1749002,20103,26726,75.22%,American Airlines Center,Dallas,United States,,,
12/28/2024,12/28/2024,2,Trans-Siberian Orchestra,1635462,19158,26492,72.32%,Little Caesars Arena,Detroit,United States,,,
12/28/2024,12/28/2024,1,World Wrestling Entertainment,500262,7349,8072,91.04%,CFG Bank Arena,Baltimore,United States,,,
12/27/2024,12/27/2024,1,Anyma,2776524,16875,16875,100%,Sphere,Las Vegas,United States,,,
12/27/2024,12/27/2024,1,Bruno Mars,2494439,5314,5314,100%,Dolby Live,Las Vegas,United States,,,
12/27/2024,12/27/2024,1,Carimi,2381567,15420,15420,100%,UBS Arena,New York,United States,,,
12/27/2024,12/28/2024,2,Gabriel Iglesias,508145,4371,4371,100%,The Chelsea,Las Vegas,United States,,,
12/27/2024,12/27/2024,1,Kaytranada,256370,3000,3000,100%,Echostage,Washington,United States,,,
12/27/2024,12/27/2024,1,Mannheim Steamroller,145139,2378,4561,52.14%,Heartland Events Center,Grand Island,United States,,,
12/27/2024,12/27/2024,1,Mannheim Steamroller,75426,1334,2354,56.67%,Mississippi Coliseum,Jackson,United States,,,
12/27/2024,12/28/2024,2,Maroon 5,2539830,12968,12968,100%,Hard Rock Live ,Hollywood,United States,,,
12/27/2024,12/27/2024,1,Melendi,931109,16157,16157,100%,Palau Sant Jordi,Barcelona,Spain,,,
12/27/2024,12/27/2024,1,Pitbull,886498,5363,5500,97.51%,Hard Rock Live at Etess Arena,Atlantic City,United States,,,
12/27/2024,12/27/2024,1,Sharon Van Etten ,3232,142,200,71.01%,Het Wennekerpand,Schiedam,Netherlands,,,
12/27/2024,12/27/2024,2,Trans-Siberian Orchestra,1915796,22418,29326,76.44%,Rocket Mortgage Fieldhouse,Cleveland,United States,,,
12/27/2024,12/27/2024,2,Trans-Siberian Orchestra,1279044,15256,28076,54.34%,Frost Bank Center,San Antonio,United States,,,
12/27/2024,12/27/2024,1,World Wrestling Entertainment,1107440,11559,11559,100%,Amalie Arena,Tampa,United States,,,
12/26/2024,12/26/2024,1,Mannheim Steamroller,58255,569,823,69.14%,Jerome Westheimer Center for the Performing Arts,Ardmore,United States,,,
12/26/2024,12/26/2024,1,Mannheim Steamroller,65007,1095,2151,50.91%,BJCC Concert Hall,Birmingham,United States,,,
12/26/2024,12/26/2024,2,Trans-Siberian Orchestra,1164907,13173,24602,53.54%,Toyota Center,Houston,United States,,,
12/26/2024,12/26/2024,1,World Wrestling Entertainment,1238281,12524,14552,86.06%,Madison Square Garden ,New York,United States,,,
12/25/2024,12/25/2024,1,Gabriel Iglesias,15000,200,200,100%,Sunset Strip Comedy Club,Austin,United States,,,
12/24/2024,12/29/2024,12,Shin Lim,1062775,13651,13651,100%,The Palazzo Theatre,Las Vegas,United States,,,
12/23/2024,12/23/2024,1,Laura Pausini,436651,5311,5311,100%,Modigliani Forum,Livorno,Italy,,,
12/23/2024,12/23/2024,1,Mannheim Steamroller,124958,1810,2230,81.17%,Heymann Performing Arts Center,Lafayette,United States,,,
12/23/2024,12/29/2024,32,Radio City Christmas Spectacular,24098408,179104,189792,94.37%,Radio City Music Hall,New York,United States,,,
12/23/2024,12/23/2024,2,Trans-Siberian Orchestra,1734397,20788,26134,79.54%,Allstate Arena,Rosemont,United States,,,
12/23/2024,12/23/2024,2,Trans-Siberian Orchestra,1566950,17972,25300,71.04%,Capital One Arena,Washington,United States,,,
12/22/2024,12/22/2024,1,Aaron Lewis,181370,2330,2611,89.24%,Symphony Hall,Springfield,United States,,,
12/22/2024,12/22/2024,1,Lindsey Stirling,331286,4744,7090,66.91%,Rupp Arena,Lexington,United States,,,
12/22/2024,12/22/2024,1,Luis Fonsi,368906,4620,4844,95.38%,Hard Rock Live,Hollywood,United States,,,
12/22/2024,12/22/2024,1,Mannheim Steamroller,133580,2026,2276,89.02%,Orpheum Theatre,Memphis,United States,,,
12/22/2024,12/22/2024,1,Mannheim Steamroller,144753,2454,2636,93.10%,Orpheum Theater,Omaha,United States,,,
12/22/2024,12/22/2024,1,Pentatonix,1118348,13183,13183,100%,American Airlines Center,Dallas,United States,,,
12/22/2024,12/22/2024,2,Trans-Siberian Orchestra,1301781,16051,21632,74.20%,Fiserv Forum,Milwaukee,United States,,,
12/22/2024,12/22/2024,2,Trans-Siberian Orchestra,2067486,24352,25112,96.97%,Wells Fargo Center,Philadelphia,United States,,,
12/21/2024,12/21/2024,1,Aaron Lewis,221033,2497,2543,98.19%,Event Center at Turning Stone Resort Casino,Verona,United States,,,
12/21/2024,12/21/2024,1,Bruno Mars,2624234,5314,5314,100%,Dolby Live,Las Vegas,United States,,,
12/21/2024,12/21/2024,1,CBS Sports Classic,3021049,17800,18261,97.48%,Madison Square Garden ,New York,United States,,,
12/21/2024,12/22/2024,2,Chris Brown,7270446,99874,99874,100%,Allianz Parque,São Paulo,Brazil,,,
12/21/2024,12/21/2024,1,Dom Dolla,809076,9579,9579,100%,Riverstage,Brisbane,Australia,,,
12/21/2024,12/22/2024,2,Dream Theater,1407396,19815,33044,59.97%,Movistar Arena,Santiago,Chile,,,
12/21/2024,12/21/2024,1,"Earth, Wind & Fire",358197,3030,3200,94.69%,Hard Rock Live at Etess Arena,Atlantic City,United States,,,
12/21/2024,12/22/2024,2,Joé Dwèt Filé,1711857,36629,38360,95.49%,Accor Arena,Paris,France,,,
12/21/2024,12/21/2024,1,Jonathan Lee,1856864,8221,9315,88.26%,MGM Grand Garden,Las Vegas,United States,,,
12/21/2024,12/21/2024,1,Jowell y Randy,774197,12102,12242,98.86%,Coliseo de Puerto Rico,San Juan,Puerto Rico,,,
12/21/2024,12/21/2024,1,Los Temerarios,3073434,54578,58009,94.09%,Estadio GNP Seguros,Mexico City,Mexico,,,
12/21/2024,12/21/2024,1,Mannheim Steamroller,244814,3935,5274,74.61%,Des Moines Civic Center,Des Moines,United States,,,
12/21/2024,12/21/2024,1,Mannheim Steamroller,110601,1655,2000,82.75%,UIS Performing Arts Center,Springfield,United States,,,
12/21/2024,12/21/2024,1,Mannheim Steamroller,141295,2276,2276,100%,Orpheum Theater,Omaha,United States,,,
12/21/2024,12/21/2024,1,Mannheim Steamroller,123108,2008,2276,88.22%,Orpheum Theater,Omaha,United States,,,
12/21/2024,12/21/2024,1,Mannheim Steamroller,103869,1587,1625,97.66%,Gallagher Bluedorn Performing Arts Center,Cedar Falls,United States,,,
12/21/2024,12/21/2024,1,Mannheim Steamroller,108034,1754,2637,66.51%,Des Moines Civic Center,Des Moines,United States,,,
12/21/2024,12/22/2024,4,Paw Patrol Live!,133520,2850,7332,38.87%,Mountain America Center,Idaho Falls,United States,,,
12/21/2024,12/21/2024,1,Pentatonix,1086329,12479,12479,100%,Dickies Arena,Fort Worth,United States,,,
12/21/2024,12/21/2024,1,Stam1na,28197,775,775,100%,Tavastia Klubi,Helsinki,Finland,,,
12/21/2024,12/21/2024,2,Trans-Siberian Orchestra,1759770,21664,24582,88.13%,PPG Paints Arena,Pittsburgh,United States,,,
12/21/2024,12/21/2024,2,Trans-Siberian Orchestra,1750371,20583,28582,72.01%,Xcel Energy Center,Saint Paul,United States,,,
12/21/2024,12/21/2024,1,Travis,590688,9340,11977,77.98%,OVO Hydro,Glasgow,Australia,,,
12/21/2024,12/21/2024,1,Tremonti,55386,921,921,100%,"Borgata Hotel, Casino & Spa",Atlantic City,United States,,,
12/20/2024,12/22/2024,3,Airbag,3842630,125505,133341,94.12%,Estadio José Amalfitani,Buenos Aires,Argentina,,,
12/20/2024,12/21/2024,2,Amy Grant / Vince Gill,410800,4576,4576,100%,Ryman Auditorium,Nashville,United States,,,
12/20/2024,12/20/2024,1,Banda MS,1113557,15298,15298,100%,Arena CDMX,Mexico City,Mexico,,,
12/20/2024,12/20/2024,1,Bruno Mars,2448716,5314,5314,100%,Dolby Live,Las Vegas,United States,,,
12/20/2024,12/20/2024,1,Celine Cairo,3582,230,230,100%,Lutherse Kerk,Groningen,Netherlands,,,
12/20/2024,12/20/2024,1,Chris Tomlin,79930,1773,1773,100%,Palmetto Pointe Church,Myrtle Beach,United States,,,
12/20/2024,01/19/2025,14,Clouseau,11753058,228809,228809,100%,Sportpaleis,Antwerp,Belgium,,,
12/20/2024,12/20/2024,1,Dom Dolla,706946,9418,9418,100%,Riverstage,Brisbane,Australia,,,
12/20/2024,12/20/2024,1,"Earth, Wind & Fire",330064,2538,3200,79.31%,Hard Rock Live at Etess Arena,Atlantic City,United States,,,
12/20/2024,12/20/2024,1,Fuerza Regida,1100340,6553,7262,90.24%,Toyota Arena ,Ontario,United States,,,
12/20/2024,12/20/2024,1,Jo Koy,188460,2177,2827,77.01%,4 Bears Casino And Lodge,New Town,United States,,,
12/20/2024,12/20/2024,1,John Legend,452328,2257,2542,88.79%,"Borgata Hotel, Casino & Spa / Event Ctr.",Atlantic City,United States,,,
12/20/2024,12/20/2024,1,Jowell y Randy,740175,11530,12541,91.94%,Coliseo de Puerto Rico,San Juan,Puerto Rico,,,
12/20/2024,12/20/2024,1,Justin Timberlake,1856743,12786,12786,100%,T-Mobile Center,Kansas City,United States,,,
12/20/2024,12/20/2024,1,Laura Pausini,499613,4902,8772,55.88%,Arena Stožice,Ljubljana,Slovenia,,,
12/20/2024,12/21/2024,2,Los Temerarios,6891507,111280,116017,95.92%,Estadio GNP Seguros,Mexico City,Mexico,,,
12/20/2024,12/20/2024,1,Mannheim Steamroller,191599,1597,1630,97.98%,Gallagher Bluedorn Performing Arts Center,Cedar Falls,United States,,,
12/20/2024,12/20/2024,2,Mannheim Steamroller,205604,2923,3000,97.43%,Blue Gate Performing Arts Center,Shipshewana,United States,,,
12/20/2024,12/20/2024,1,Stam1na,28164,775,775,100%,Tavastia Klubi,Helsinki,Finland,,,
12/20/2024,12/20/2024,2,Trans-Siberian Orchestra,820385,11116,15812,70.30%,Vibrant Arena,Moline,United States,,,
12/19/2024,12/19/2024,1,96.1 The Beat's Jingle Ball,681706,11691,11691,100%,State Farm Arena,Atlanta,United States,,,
12/19/2024,12/19/2024,1,Aaron,10195,450,450,100%,Bahnhof Pauli,Hamburg,Germany,,,
12/19/2024,12/19/2024,1,Bryan Adams,916964,7028,12135,57.92%,Etihad Arena,Abu Dhabi,United Arab Emirates,,,
12/19/2024,12/19/2024,1,Chris Tomlin,82890,2100,2230,94.17%,Calvary Christian Center,Ormond Beach,United States,,,
12/19/2024,12/22/2024,9,Disney On Ice,1403392,41811,115263,36.27%,First Horizon Coliseum,Greensboro,United States,,,
12/19/2024,12/19/2024,1,Justin Timberlake,1369513,9986,10227,97.64%,Enterprise Center,St. Louis,United States,,,
12/19/2024,12/19/2024,1,Kevin Hart,624040,7592,7856,96.64%,Addition Financial Arena,Orlando,United States,,,
12/19/2024,12/19/2024,1,Mannheim Steamroller,108005,1661,1752,94.81%,McCain Auditorium,Manhattan,United States,,,
12/19/2024,12/19/2024,1,Mannheim Steamroller,106034,1653,2414,68.48%,Riverside Theatre,Milwaukee,United States,,,
12/19/2024,12/19/2024,1,Pentatonix,874186,10367,10836,95.67%,BOK Center,Tulsa,United States,,,
12/19/2024,12/22/2024,4,Shin Lim,350394,4400,4400,100%,The Palazzo Theatre,Las Vegas,United States,,,
12/19/2024,12/19/2024,1,Trans-Siberian Orchestra,731868,9290,12222,76.01%,Gainbridge Fieldhouse,Indianapolis,United States,,,
12/18/2024,12/19/2024,2,Andrea Bocelli,6539340,28729,28729,100%,Madison Square Garden,New York,United States,,,
12/18/2024,12/18/2024,1,Bruno Mars,2343802,5314,5314,100%,Dolby Live,Las Vegas,United States,,,
12/18/2024,12/18/2024,1,Chris Tomlin,57532,1327,2130,62.30%,Cottage Hill Baptist Church,Mobile,United States,,,
12/18/2024,12/18/2024,1,"Earth, Wind & Fire",443332,6963,6963,100%,Mohegan Sun Arena,Uncasville,United States,,,
12/18/2024,12/18/2024,1,Laura Pausini,140794,2698,6304,42.80%,Stark Arena,Belgrade,Serbia,,,
12/18/2024,12/18/2024,1,Mannheim Steamroller,131969,1932,1998,96.70%,Eccles Theater,Salt Lake City,United States,,,
12/18/2024,12/18/2024,2,Mannheim Steamroller,206662,2351,2428,96.83%,Pablo Center,Eau Claire,United States,,,
12/18/2024,12/18/2024,1,Trans-Siberian Orchestra,953231,11359,11359,100%,Lenovo Center,Raleigh,United States,,,
12/18/2024,12/18/2024,1,Trans-Siberian Orchestra,900355,11474,11474,100%,Enterprise Center,St. Louis,United States,,,
12/18/2024,12/18/2024,2,Trevor Noah,16500,300,300,100%,Soho Playhouse,New York,United States,,,
12/18/2024,12/19/2024,2,Zach Bryan,5681577,32234,32234,100%,Barclays Center,New York,United States,,,
12/17/2024,12/17/2024,1,Bryan Adams,361465,7379,11800,62.53%,Athletic Stadium,Bambolim,India,,,
12/17/2024,12/20/2024,4,For King & Country,1232621,15899,17616,90.25%,Grand Ole Opry House,Nashville,United States,,,
12/17/2024,12/17/2024,1,Hot 99.5 Jingle Ball,1325705,15773,15773,100%,Capital One Arena,Washington,United States,,,
12/17/2024,12/18/2024,2,Justice,1532193,28808,31642,91.04%,Accor Arena,Paris,France,,,
12/17/2024,12/17/2024,1,Mannheim Steamroller,131969,1932,1998,96.70%,Weidner Center for the Performing Arts,Green Bay,United States,,,
12/17/2024,12/17/2024,1,Mannheim Steamroller,137604,2447,2501,97.84%,Eccles Theater,Salt Lake City,United States,,,
12/17/2024,12/17/2024,1,Mannheim Steamroller,71358,1281,2501,51.22%,Eccles Theater,Salt Lake City,United States,,,
12/17/2024,12/17/2024,1,Mariah Carey,1649118,13462,13462,100%,Barclays Center,New York,United States,,,
12/17/2024,12/17/2024,1,Slipknot,1626563,18047,18047,100%,Co-op Live,Manchester,England,,,
12/16/2024,12/16/2024,1,Bryan Adams,380980,7878,10801,72.94%,GMR Arena,Hyderabad,India,,,
12/16/2024,12/16/2024,1,Chris Tomlin,88603,2374,2760,86.01%,Westover Church,Greensboro,United States,,,
12/16/2024,12/16/2024,1,Die Antwoord,255273,4961,6000,82.68%,AFAS Live,Amsterdam,Netherlands,,,
12/16/2024,12/16/2024,1,FIFTY FIFTY,69962,691,1429,48.36%,The Town Hall,New York,United States,,,
12/16/2024,12/16/2024,1,J. Cole,2084747,14215,14215,100%,Madison Square Garden,New York,United States,,,
12/16/2024,12/16/2024,1,Jay Wheeler,1581044,9366,10287,91.05%,Movistar Arena,Madrid,Spain,,,
12/16/2024,12/16/2024,1,Justin Timberlake,1642855,11247,12129,92.73%,Gainbridge Fieldhouse,Indianapolis,United States,,,
12/16/2024,12/16/2024,1,Laura Pausini,169473,2415,9451,25.55%,Arena Sofia,Sofia,Bulgaria,,,
12/16/2024,12/22/2024,32,Radio City Christmas Spectacular,24300234,182233,189792,96.02%,Radio City Music Hall,New York,United States,,,
12/16/2024,12/16/2024,1,Sam Fender ,996275,13586,13586,100%,OVO Hydro,Glasgow,Scotland,,,
12/16/2024,12/16/2024,1,Trevor Noah,201730,2606,2760,94.42%,Beacon Theatre,New York,United States,,,
12/15/2024,12/22/2024,8,A Christmas Carol,376935,7764,17928,43.31%,Hanover Theatre & Conservatory for the Performing Arts,Worcester,United States,,,
12/15/2024,12/15/2024,1,Andrea Bocelli,2052440,6903,6903,100%,Mohegan Sun Arena,Uncasville,United States,,,
12/15/2024,12/15/2024,1,Die Antwoord,262379,5099,8223,62.01%,Forest National,Brussels,Belgium,,,
12/15/2024,12/15/2024,1,Jowell y Randy,769688,12163,12163,100%,Coliseo de Puerto Rico,San Juan,Puerto Rico,,,
12/15/2024,12/15/2024,1,Kiss Of Life,139421,2200,2200,100%,MTELUS,Montreal,Canada,,,
12/15/2024,12/15/2024,1,Mannheim Steamroller,181095,3836,4160,92.21%,Mountain America Center,Idaho Falls,United States,,,
12/15/2024,12/15/2024,1,Mannheim Steamroller,129310,2025,2148,94.27%,Clowes Memorial Hall,Indianapolis,United States,,,
12/15/2024,12/15/2024,1,Sixpence None The Richer,20000,454,500,90.80%,Troubadour,West Hollywood,United States,,,
12/15/2024,12/15/2024,1,Slipknot,1382324,13723,13723,100%,OVO Hydro,Glasgow,Scotland,,,
12/15/2024,12/15/2024,2,Trans-Siberian Orchestra,1819073,20584,25852,79.62%,Amalie Arena,Tampa,United States,,,
12/14/2024,12/14/2024,1,Aaron,4843,220,230,95.65%,B72,Vienna,Austria,,,
12/14/2024,12/14/2024,1,Banda MS,1088667,15273,15273,100%,Arena CDMX,Mexico City,Mexico,,,
12/14/2024,12/14/2024,1,Billy Strings,485508,7104,7104,100%,Moody Center,Austin,United States,,,
12/14/2024,12/14/2024,1,Bryan Adams,725375,13148,14001,93.91%,Terraform Arena,Bengaluru,India,,,
12/14/2024,12/15/2024,2,Carlos Rivera,1919897,20920,21434,97.60%,Movistar Arena,Buenos Aires,Argentina,,,
12/14/2024,12/14/2024,1,Dom Dolla,2732148,33988,33988,100%,Flemington Racecourse,Melbourne,Australia,,,
12/14/2024,12/14/2024,1,Eagles,4681501,16343,16343,100%,Sphere,Las Vegas,United States,,,
12/14/2024,12/14/2024,1,girl in red,91727,1877,5000,37.54%,Mesa Amphitheatre,Mesa,United States,,,
12/14/2024,12/14/2024,1,Maître Gims,1216148,24887,27000,92.17%,La Défense Arena,Paris,France,,,
12/14/2024,12/14/2024,1,Ha*Ash,295088,4909,5163,95.08%,Foro GNP Seguros,Merida,Mexico,,,
12/14/2024,12/14/2024,1,Jeff Dunham,265228,4348,4348,100%,Cross Insurance Center,Bangor,United States,,,
12/14/2024,12/14/2024,1,Jowell y Randy,813408,12675,12675,100%,Coliseo de Puerto Rico,San Juan,Puerto Rico,,,
12/14/2024,12/14/2024,1,Justin Timberlake,1845232,12303,12303,100%,PPG Paints Arena,Pittsburgh,United States,,,
12/14/2024,12/14/2024,1,Kenia Os,743215,9196,10248,89.73%,Arena Monterrey ,Monterrey,Mexico,,,
12/14/2024,12/14/2024,1,KROQ Almost Acoustic Christmas,1199039,12648,12648,100%,Forum,Inglewood,United States,,,
12/14/2024,12/14/2024,1,Lainey Wilson,1038399,12121,12121,100%,MGM Grand Garden,Las Vegas,United States,,,
12/14/2024,12/14/2024,1,Lenny Kravitz,1785734,17210,18107,95.05%,Palacio De Los Deportes,Mexico City,Mexico,,,
12/14/2024,12/14/2024,1,Patti LaBelle,154381,979,2500,39.16%,Celebrity Theatre,Phoenix,United States,,,
12/14/2024,12/14/2024,1,Picture This,266686,4141,4141,100%,Gleneagle INEC Arena,Killarney,Ireland,,,
12/14/2024,12/14/2024,1,Romy,38632,1214,1214,100%,City Halls & Old Fruitmarket,Glasgow,Scotland,,,
12/14/2024,12/14/2024,1,Sixpence None The Richer,10500,300,300,100%,The Observatory,Santa Ana,United States,,,
12/14/2024,12/14/2024,1,Slipknot,1113054,11950,12258,97.49%%,First Direct Arena,Leeds,England,,,
12/14/2024,12/14/2024,2,Trans-Siberian Orchestra,1536798,17239,26352,65.42%,Kia Center,Orlando,United States,,,
12/13/2024,12/13/2024,1,Aaron,4408,200,200,100%,Orangehouse,Munich,Germany,,,
12/13/2024,12/22/2024,6,André Rieu,8170015,70289,70289,100%,MECC,Maastricht,Netherlands,,,
12/13/2024,12/13/2024,1,Andres Cepeda,1934520,27128,27128,100%,Estadio El Campín,Bogotá,Colombia,,,
12/13/2024,12/13/2024,1,Bryan Adams,608960,10801,11801,91.53%,NESCO Bombay Exhibition Centre,Mumbai,India,,,
12/13/2024,12/13/2024,1,Cody Johnson,1043790,11858,12152,97.58%,MGM Grand Garden,Las Vegas,United States,,,
12/13/2024,12/13/2024,1,Chris Tomlin,117250,2730,2730,100%,Elmbrook Church,Brookfield,United States,,,
12/13/2024,12/13/2024,1,Culture Club,607431,6863,7730,88.78%,OVO Hydro,Glasgow,Scotland,,,
12/13/2024,12/13/2024,1,Dom Dolla,2431162,30683,30683,100%,Flemington Racecourse,Melbourne,Australia,,,
12/13/2024,12/13/2024,1,Eagles,4739801,16228,16228,100%,Sphere,Las Vegas,United States,,,
12/13/2024,12/13/2024,1,FIFTY FIFTY,34720,441,1553,28.40%,The Tabernacle,Atlanta,United States,,,
12/13/2024,12/13/2024,1,Helping Hands Concert & Auction,1950580,4761,4761,100%,YouTube Theater,Inglewood,United States,,,
12/13/2024,12/13/2024,1,Jeff Dunham,270535,4435,4435,100%,MVP Arena,Albany,United States,,,
12/13/2024,12/13/2024,1,Jennifer Hudson,248519,3147,3553,88.57%,Chicago Theatre,Chicago,United States,,,
12/13/2024,12/14/2024,2,Jerry Seinfeld,1232215,8256,8720,94.68%,Ruth Eckerd Hall,Clearwater,United States,,,
